cluster,violation_count,lat_center,lon_center,lat_std,lon_std,unique_vehicles,peak_violations,dominant_hour,dominant_day,dominant_type,peak_ratio,spread_m,hotspot_score,rank
324,90,12.98691708111111,77.51920515333333,0.00021814181496634155,0.00015558385086911924,82,22,2,Wednesday,['NO PARKING'],0.24444444444444444,29.741410941499716,112.0,128
69,106,12.978529013207547,77.6288092235849,0.0005571705198632502,0.0003641810694457478,99,5,0,Wednesday,"['WRONG PARKING', 'DEFECTIVE NUMBER PLATE']",0.04716981132075472,73.88522538412325,111.00000000000001,129
318,64,12.885362415196349,77.6419133439666,0.00040145773242136653,0.0005283939318041794,63,46,20,Friday,['WRONG PARKING'],0.71875,73.65989256106063,110.0,130
314,74,12.948236582432433,77.5799781027027,0.00024683016198431617,0.00015467661003158216,72,36,21,Monday,['NO PARKING'],0.4864864864864865,32.333212569636316,110.0,131
429,85,12.958567632941177,77.66820463176471,0.0003252016214841138,0.00031530101423219066,84,19,22,Sunday,['WRONG PARKING'],0.2235294117647059,50.27832261389086,104.00000000000001,132
682,104,12.991585602884614,77.65230233269232,0.00012522109879654916,0.0005472617476855334,96,0,1,Thursday,"['PARKING IN A MAIN ROAD', 'WRONG PARKING']",0.0,62.315971809866724,104.0,133
182,92,12.979958309782608,77.59303498478262,0.000597899910227979,0.000682293450278848,92,12,5,Monday,['NO PARKING'],0.13043478260869565,100.69900514685096,103.99999999999999,134
179,92,12.925588839130436,77.63385890869564,0.0007504947676394555,0.0005610421763672005,86,11,5,Saturday,['NO PARKING'],0.11956521739130435,104.00947110767322,103.00000000000001,135
123,86,13.047061206976746,77.50103740465116,0.0001162399159855274,0.0001667182709266763,77,17,22,Wednesday,['WRONG PARKING'],0.19767441860465115,22.55969525118811,102.99999999999999,136
222,82,13.057388663414635,77.54697834024391,0.0006021650994868058,0.0006275972884809995,73,20,4,Wednesday,['NO PARKING'],0.24390243902439024,96.54327742563441,102.0,137
162,96,12.971833455208333,77.54687627916667,0.0007585369064843639,0.0004190722575366337,92,5,22,Friday,['NO PARKING'],0.052083333333333336,96.19287125767478,101.0,138
32,92,12.906828103067411,77.69668011637103,0.00022456866185459947,0.0006632438960147535,90,8,2,Wednesday,['WRONG PARKING'],0.08695652173913043,77.72564861898279,100.0,139
464,83,12.917303766265059,77.57822017108434,0.00025761059915886566,0.0005947038768205085,77,17,0,Wednesday,['NO PARKING'],0.20481927710843373,71.9392979794999,99.99999999999999,140
88,79,13.045874673417723,77.75035631518988,0.00030193058198137266,0.00025472177838231636,79,19,6,Sunday,['NO PARKING'],0.24050632911392406,43.84784666668087,98.0,141
111,56,12.818492987499999,77.68915773214285,0.0002830765094531037,0.0001396961873699867,56,42,20,Friday,['WRONG PARKING'],0.75,35.03933238752829,98.0,142
191,91,12.98081391132119,77.58830379335971,0.000778897795132833,0.0004743864836809569,89,6,2,Wednesday,['NO PARKING'],0.06593406593406594,101.23080182348973,97.0,143
160,71,12.876375291549296,77.59543722957747,0.00021797220513963527,0.00012895712398538207,67,25,6,Friday,['NO PARKING'],0.352112676056338,28.112121751213348,96.0,144
366,77,12.926635150649352,77.69482283636363,0.0013456322070844943,8.02564719609068e-05,76,19,23,Tuesday,['NO PARKING'],0.24675324675324675,149.63059950332863,96.0,145
125,91,12.989322694505494,77.50064835384616,7.313440801775798e-05,0.00019004749190965826,91,3,5,Monday,['NO PARKING'],0.03296703296703297,22.603342619167073,94.00000000000001,146
350,86,12.972476211627908,77.62604061511628,0.0004501742176268818,0.0003909852296058928,77,5,22,Sunday,['NO PARKING'],0.05813953488372093,66.18488684301623,91.00000000000001,147
41,57,12.912914627289418,77.62552149329751,0.00022301058752377623,0.00012573165399893651,55,34,20,Saturday,['WRONG PARKING'],0.5964912280701754,28.417337814437605,91.0,148
10,76,12.917066711842105,77.65173534210525,0.00101816532121491,7.077119802682369e-05,76,15,1,Monday,['NO PARKING'],0.19736842105263158,113.28903748172586,91.0,149
